Date,market,Close,Regime_Name,Stress_Score,Signal,Signal_Label,Signal_Reason
2024-08-19,bist100,10054.146484375,Transition,0.306830974747354,1,BUY,Transition BUY=0.31
2024-08-20,bist100,9982.2470703125,Calm/Bull,0.0186757084105049,1,BUY,Calm/Bull low stress=0.02
2024-08-21,bist100,9904.7470703125,Calm/Bull,0.0123250162293581,1,BUY,Calm/Bull low stress=0.01
2024-08-22,bist100,9921.34765625,Calm/Bull,0.0082184033513675,1,BUY,Calm/Bull low stress=0.01
2024-08-23,bist100,9668.0478515625,Calm/Bull,0.2483432197633754,1,BUY,Calm/Bull low stress=0.25
2024-08-26,bist100,9565.7490234375,Calm/Bull,0.032731876750323,1,BUY,Calm/Bull low stress=0.03
2024-08-27,bist100,9748.748046875,Transition,0.2144141141491828,1,BUY,Transition BUY=0.21
2024-08-28,bist100,9757.1484375,Calm/Bull,0.0297186382791975,1,BUY,Calm/Bull low stress=0.03
2024-08-29,bist100,9833.1484375,Calm/Bull,0.0453740077642698,1,BUY,Calm/Bull low stress=0.05
2024-09-02,bist100,10110.146484375,Transition,0.2637369292480756,1,BUY,Transition BUY=0.26
2024-09-03,bist100,10021.7470703125,Calm/Bull,0.0026538433022315,1,BUY,Calm/Bull low stress=0.00
2024-09-04,bist100,9984.84765625,Calm/Bull,0.0006267617116854,1,BUY,Calm/Bull low stress=0.00
2024-09-05,bist100,9936.7470703125,Calm/Bull,0.0004266584786761,1,BUY,Calm/Bull low stress=0.00
2024-09-06,bist100,9771.1484375,Calm/Bull,0.0012159961759203,1,BUY,Calm/Bull low stress=0.00
2024-09-09,bist100,9699.5478515625,Calm/Bull,0.0005958550751838,1,BUY,Calm/Bull low stress=0.00
2024-09-10,bist100,9623.94921875,Calm/Bull,0.0006381188829117,1,BUY,Calm/Bull low stress=0.00
2024-09-11,bist100,9419.650390625,Calm/Bull,0.0047114565594955,1,BUY,Calm/Bull low stress=0.00
2024-09-12,bist100,9520.94921875,Transition,0.0887551522073058,1,BUY,Transition BUY=0.09
2024-09-13,bist100,9685.4482421875,Transition,0.0147605230556495,1,BUY,Transition BUY=0.01
2024-09-16,bist100,9577.44921875,Calm/Bull,0.0004501537315115,1,BUY,Calm/Bull low stress=0.00
2024-09-17,bist100,9758.0478515625,Transition,0.0032900091284709,1,BUY,Transition BUY=0.00
2024-09-18,bist100,9774.4482421875,Calm/Bull,0.0009756722340663,1,BUY,Calm/Bull low stress=0.00
2024-09-19,bist100,9975.546875,Calm/Bull,0.0049786408980668,1,BUY,Calm/Bull low stress=0.00
2024-09-20,bist100,9900.2470703125,Calm/Bull,0.0025431786929164,1,BUY,Calm/Bull low stress=0.00
2024-09-23,bist100,9887.7470703125,Calm/Bull,0.0003013775900434,1,BUY,Calm/Bull low stress=0.00
2024-09-24,bist100,10029.6474609375,Transition,0.0024622148745068,1,BUY,Transition BUY=0.00
2024-09-25,bist100,9890.947265625,Calm/Bull,0.0008439334047283,1,BUY,Calm/Bull low stress=0.00
2024-09-26,bist100,9829.1484375,Calm/Bull,0.0007982880157399,1,BUY,Calm/Bull low stress=0.00
2024-09-27,bist100,9777.4482421875,Calm/Bull,0.0001712630362159,1,BUY,Calm/Bull low stress=0.00
2024-09-30,bist100,9665.748046875,Calm/Bull,0.0001290146089984,1,BUY,Calm/Bull low stress=0.00
2024-10-01,bist100,9351.150390625,Stress/Bear,0.9986226283941758,-1,REDUCE,Stress rising=1.00↑
2024-10-02,bist100,9012.8525390625,Stress/Bear,0.788227404234103,1,BUY,Stress peak fading=0.79↓
2024-10-03,bist100,8898.1533203125,Stress/Bear,0.5660991483849325,-1,REDUCE,Stress/Bear active=0.57
2024-10-04,bist100,9109.251953125,Stress/Bear,0.5729479909990878,-1,REDUCE,Stress/Bear active=0.57
2024-10-07,bist100,9031.5517578125,Calm/Bull,0.0132920907426931,1,BUY,Calm/Bull low stress=0.01
2024-10-08,bist100,9044.8525390625,Calm/Bull,0.0068922211237063,1,BUY,Calm/Bull low stress=0.01
2024-10-09,bist100,9132.2509765625,Calm/Bull,0.036303548920662,1,BUY,Calm/Bull low stress=0.04
2024-10-10,bist100,8964.0517578125,Calm/Bull,0.0163337946001588,1,BUY,Calm/Bull low stress=0.02
2024-10-11,bist100,8876.1533203125,Calm/Bull,0.0103726790814666,1,BUY,Calm/Bull low stress=0.01
2024-10-14,bist100,8699.154296875,Calm/Bull,0.0072164549683593,1,BUY,Calm/Bull low stress=0.01
2024-10-15,bist100,8860.2529296875,Transition,0.0345930609071784,1,BUY,Transition BUY=0.03
2024-10-16,bist100,8955.9521484375,Calm/Bull,0.0138786260507284,1,BUY,Calm/Bull low stress=0.01
2024-10-17,bist100,9002.251953125,Calm/Bull,0.0040955827509166,1,BUY,Calm/Bull low stress=0.00
2024-10-18,bist100,8793.552734375,Calm/Bull,0.3183059936898391,1,BUY,Calm/Bull low stress=0.32
2024-10-21,bist100,8654.3544921875,Calm/Bull,0.021380470169524,1,BUY,Calm/Bull low stress=0.02
2024-10-22,bist100,8838.552734375,Transition,0.1379985432171356,1,BUY,Transition BUY=0.14
2024-10-23,bist100,8714.654296875,Calm/Bull,0.0177376996030266,1,BUY,Calm/Bull low stress=0.02
2024-10-24,bist100,8872.853515625,Transition,0.0506949106206358,1,BUY,Transition BUY=0.05
2024-10-25,bist100,8908.453125,Calm/Bull,0.016493298074767,1,BUY,Calm/Bull low stress=0.02
2024-10-28,bist100,8945.751953125,Stress/Bear,0.5700742693878891,-1,REDUCE,Stress/Bear active=0.57
2024-10-30,bist100,9006.5517578125,Calm/Bull,0.0022626225213599,1,BUY,Calm/Bull low stress=0.00
2024-10-31,bist100,8863.853515625,Calm/Bull,0.0056457703286741,1,BUY,Calm/Bull low stress=0.01
2024-11-01,bist100,8884.953125,Calm/Bull,0.000387680238977,1,BUY,Calm/Bull low stress=0.00
2024-11-04,bist100,8663.8544921875,Calm/Bull,0.0119045177505354,1,BUY,Calm/Bull low stress=0.01
2024-11-05,bist100,8618.5537109375,Calm/Bull,0.0006067294620635,1,BUY,Calm/Bull low stress=0.00
2024-11-06,bist100,8862.2529296875,Transition,0.3268208335530768,1,BUY,Transition BUY=0.33
2024-11-07,bist100,8946.0517578125,Calm/Bull,0.0019777198783009,1,BUY,Calm/Bull low stress=0.00
2024-11-08,bist100,9184.7509765625,Transition,0.0331014589539066,1,BUY,Transition BUY=0.03
2024-11-11,bist100,9276.7509765625,Calm/Bull,0.0283614026399832,1,BUY,Calm/Bull low stress=0.03
2024-11-12,bist100,9226.8515625,Calm/Bull,0.0194740721316478,1,BUY,Calm/Bull low stress=0.02
2024-11-13,bist100,9300.25,Transition,0.1002955198247292,1,BUY,Transition BUY=0.10
2024-11-14,bist100,9420.3505859375,Calm/Bull,0.0021182306230128,1,BUY,Calm/Bull low stress=0.00
2024-11-15,bist100,9389.5498046875,Calm/Bull,0.0009495745802817,1,BUY,Calm/Bull low stress=0.00
2024-11-18,bist100,9395.3505859375,Calm/Bull,0.00038047925584,1,BUY,Calm/Bull low stress=0.00
2024-11-19,bist100,9232.8515625,Calm/Bull,0.0201568404084459,1,BUY,Calm/Bull low stress=0.02
2024-11-20,bist100,9031.751953125,Calm/Bull,0.0324624571494132,1,BUY,Calm/Bull low stress=0.03
2024-11-21,bist100,9367.75,Transition,0.2383515067755933,1,BUY,Transition BUY=0.24
2024-11-22,bist100,9549.849609375,Transition,0.0319256150756079,1,BUY,Transition BUY=0.03
2024-11-25,bist100,9659.94921875,Transition,0.0204399691497296,1,BUY,Transition BUY=0.02
