Date,market,Close,Regime,Regime_Name,Stress_Score
2024-10-22,dax,19421.91015625,0,Calm/Bull,1.0438127855764842e-07
2024-10-23,dax,19377.619140625,0,Calm/Bull,7.96199008839251e-08
2024-10-24,dax,19443.0,0,Calm/Bull,2.9652506038081833e-08
2024-10-25,dax,19463.58984375,0,Calm/Bull,7.31533928640287e-09
2024-10-28,dax,19531.619140625,0,Calm/Bull,9.390558437255142e-09
2024-10-29,dax,19478.0703125,0,Calm/Bull,6.34606206379736e-09
2024-10-30,dax,19257.33984375,0,Calm/Bull,3.6515578200886104e-07
2024-10-31,dax,19077.5390625,0,Calm/Bull,5.793390130445089e-07
2024-11-01,dax,19254.970703125,0,Calm/Bull,1.8472271407700572e-07
2024-11-04,dax,19147.849609375,0,Calm/Bull,1.0084538567149864e-07
2024-11-05,dax,19256.26953125,0,Calm/Bull,1.4766690700241526e-07
2024-11-06,dax,19039.310546875,2,Stress/Bear,0.9916703208526663
2024-11-07,dax,19362.51953125,0,Calm/Bull,0.0010442962799996802
2024-11-08,dax,19215.48046875,0,Calm/Bull,5.944784954513053e-06
2024-11-11,dax,19448.599609375,0,Calm/Bull,5.009164337199791e-06
2024-11-12,dax,19033.640625,0,Calm/Bull,0.009619029067873479
2024-11-13,dax,19003.109375,0,Calm/Bull,0.00020387088175751836
2024-11-14,dax,19263.69921875,0,Calm/Bull,0.00012113235507725512
2024-11-15,dax,19210.810546875,0,Calm/Bull,9.537877787291432e-06
2024-11-18,dax,19189.189453125,0,Calm/Bull,2.946611678455381e-06
2024-11-19,dax,19060.310546875,0,Calm/Bull,0.0002848694263944389
2024-11-20,dax,19004.779296875,0,Calm/Bull,3.2247228788866906e-06
2024-11-21,dax,19146.169921875,0,Calm/Bull,7.925312744281601e-06
2024-11-22,dax,19322.58984375,0,Calm/Bull,3.8003583925290826e-05
2024-11-25,dax,19405.19921875,0,Calm/Bull,0.044801362750764996
2024-11-26,dax,19295.98046875,0,Calm/Bull,9.404564099049434e-06
2024-11-27,dax,19261.75,0,Calm/Bull,3.387752747148323e-06
2024-11-28,dax,19425.73046875,0,Calm/Bull,4.15204185271379e-06
2024-11-29,dax,19626.44921875,0,Calm/Bull,2.1255151266987748e-05
2024-12-02,dax,19933.619140625,0,Calm/Bull,0.0060955288383282465
2024-12-03,dax,20016.75,0,Calm/Bull,3.8846449340031086e-05
2024-12-04,dax,20232.140625,0,Calm/Bull,0.0002150324029436004
2024-12-05,dax,20358.80078125,0,Calm/Bull,4.2663428393006623e-05
2024-12-06,dax,20384.609375,0,Calm/Bull,2.532721432798316e-05
2024-12-09,dax,20345.9609375,0,Calm/Bull,3.4026063983447686e-06
2024-12-10,dax,20329.16015625,0,Calm/Bull,1.5070375045333835e-07
