Date,Equity,Position,Trade,Close,Signal,Regime,Target_Pct
2024-06-24,11071.628511657656,0.0,,18325.580078125,1,Calm/Bull,1.0
2024-06-25,11071.628511657656,0.0,,18177.619140625,1,Calm/Bull,1.0
2024-06-26,11060.556883145999,0.6092211802410645,BUY,18155.240234375,1,Calm/Bull,1.0
2024-06-27,11094.253239792964,0.6092211802410645,,18210.55078125,1,Calm/Bull,1.0
2024-06-28,11109.421895272873,0.6092211802410645,,18235.44921875,1,Calm/Bull,1.0
2024-07-01,11143.057567778838,0.6092211802410645,,18290.66015625,1,Calm/Bull,1.0
2024-07-02,11065.930404337343,0.6092211802410645,,18164.060546875,1,Calm/Bull,1.0
2024-07-03,11194.152424616204,0.6092211802410645,,18374.529296875,1,Calm/Bull,1.0
2024-07-04,11240.423487186585,0.6092211802410645,,18450.48046875,1,Calm/Bull,1.0
2024-07-05,11255.634978530728,0.6092211802410645,,18475.44921875,1,Calm/Bull,1.0
2024-07-08,11253.564578426003,0.6092211802410645,,18472.05078125,1,Calm/Bull,1.0
2024-07-09,11109.872861732465,0.6092211802410645,,18236.189453125,1,Calm/Bull,1.0
2024-07-10,11214.06872171557,0.6092211802410645,,18407.220703125,1,Calm/Bull,1.0
2024-07-11,11291.646851616659,0.6092211802410645,,18534.560546875,1,Calm/Bull,1.0
2024-07-12,11421.788156590303,0.6092211802410645,,18748.1796875,1,Calm/Bull,1.0
2024-07-15,11325.964328295042,0.6092211802410645,,18590.890625,1,Calm/Bull,1.0
2024-07-16,11281.575663980799,0.6092211802410645,,18518.029296875,1,Calm/Bull,1.0
2024-07-17,11232.394142412626,0.6092211802410645,,18437.30078125,1,Calm/Bull,1.0
2024-07-18,11182.108407455267,0.6092211802410645,,18354.759765625,1,Calm/Bull,1.0
2024-07-19,11070.72445147639,0.6092211802410645,,18171.9296875,1,Calm/Bull,1.0
2024-07-22,11213.977100561511,0.6092211802410645,,18407.0703125,1,Calm/Bull,1.0
2024-07-23,11305.743420605557,0.6092211802410645,,18557.69921875,1,Calm/Bull,1.0
2024-07-24,11202.03065398022,0.6092211802410645,,18387.4609375,1,Calm/Bull,1.0
2024-07-25,11147.968223659414,0.6092211802410645,,18298.720703125,1,Calm/Bull,1.0
2024-07-26,11220.362024102866,0.6092211802410645,,18417.55078125,1,Calm/Bull,1.0
2024-07-29,11161.34015261166,0.6092211802410645,,18320.669921875,1,Calm/Bull,1.0
2024-07-30,11216.480618849064,0.6092211802410645,,18411.1796875,1,Calm/Bull,1.0
2024-07-31,11275.861835645803,0.6092211802410645,,18508.650390625,1,Calm/Bull,1.0
2024-08-01,11016.57753931223,0.6092211802410645,,18083.05078125,1,Calm/Bull,1.0
2024-08-02,10759.589721255736,0.6092211802410645,,17661.220703125,1,Calm/Bull,1.0
2024-08-05,10552.722758155618,0.0,SELL,17339.0,-1,Stress/Bear,0.0
