Date,market,Close,Regime,Regime_Name,Stress_Score
2017-11-15,bist100,1077.1593017578125,0,Calm/Bull,0.016806473372281965
2017-11-16,bist100,1069.7613525390625,0,Calm/Bull,0.0007736238882211503
2017-11-17,bist100,1062.389404296875,0,Calm/Bull,0.0008461881549355269
2017-11-20,bist100,1039.113525390625,0,Calm/Bull,0.019493889339257834
2017-11-21,bist100,1052.67236328125,0,Calm/Bull,0.06853926391891456
2017-11-22,bist100,1059.63037109375,0,Calm/Bull,0.006004272149958016
2017-11-23,bist100,1050.25537109375,0,Calm/Bull,0.002405243516541595
2017-11-24,bist100,1045.3885498046875,0,Calm/Bull,0.0014938550138432938
2017-11-27,bist100,1047.5914306640625,0,Calm/Bull,0.0006871391069038094
2017-11-28,bist100,1020.674560546875,2,Stress/Bear,0.9738511581114466
2017-11-29,bist100,1023.41259765625,0,Calm/Bull,0.0007266809357959949
2017-11-30,bist100,1039.8385009765625,0,Calm/Bull,0.004027011593204102
2017-12-01,bist100,1035.58447265625,0,Calm/Bull,0.0006741484834464239
2017-12-04,bist100,1052.1434326171875,0,Calm/Bull,0.006494416807985253
2017-12-05,bist100,1062.5943603515625,0,Calm/Bull,0.0012015315793730227
2017-12-06,bist100,1053.0333251953125,0,Calm/Bull,0.001137293192917079
2017-12-07,bist100,1064.4693603515625,0,Calm/Bull,0.0007527620382126184
2017-12-08,bist100,1079.207275390625,0,Calm/Bull,0.0009210662814608401
2017-12-11,bist100,1091.5592041015625,0,Calm/Bull,0.00034932241013359457
2017-12-12,bist100,1090.4892578125,0,Calm/Bull,0.0001948111214943035
2017-12-13,bist100,1081.5262451171875,0,Calm/Bull,0.00015206531539459656
2017-12-14,bist100,1096.6580810546875,0,Calm/Bull,0.0004214794777154571
2017-12-15,bist100,1093.296142578125,0,Calm/Bull,6.26333402038427e-05
2017-12-18,bist100,1102.47314453125,0,Calm/Bull,1.7086698289373758e-05
2017-12-19,bist100,1101.76513671875,0,Calm/Bull,3.5052786422679875e-05
2017-12-20,bist100,1104.5411376953125,0,Calm/Bull,1.8710389451420835e-05
2017-12-21,bist100,1112.714111328125,0,Calm/Bull,1.4317365927520099e-05
2017-12-22,bist100,1110.9891357421875,0,Calm/Bull,9.6519641175616e-06
2017-12-26,bist100,1120.06103515625,0,Calm/Bull,1.52910640695187e-05
